,"wiki.url","wiki.summary","img_url","img_fn","img_status","img_list",
"Alvie","https://en.wikipedia.org/wiki/Alvie,_Victoria","Alvie is a small town in Victoria, Australia. It is located along Baynes Road, in the Colac Otway Shire, north-west of Colac. It was named after a Scottish town of the same name, which was the birthplace of James Macpherson Grant, the Minister of Lands. It is situated in what became a rich dairying, potato and onion growing area.
A Post Office at Alvie opened on 27 June 1894  and was closed in 1978.
A railway branch line to Alvie from Colac was opened in 1923, mainly to assist the development of soldier settlement in the area after World War I. The line closed in 1954.
Alvie has an Australian rules football team competing in the Colac & District Football League.","https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png","Alvie.png","Done","['https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/9/93/Australia_Victoria_Colac_Otway_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Apollo Bay","https://en.wikipedia.org/wiki/Apollo_Bay","Apollo Bay is a coastal town in southwestern Victoria, Australia. It is situated on the eastern side of Cape Otway, along the edge of the Barham River and on the Great Ocean Road, in the Colac Otway Shire. The town had a population of 1,095 at the 2011 Australian census.
It is now a tourist destination, though it is smaller and quieter than other nearby places such as Lorne. It is also host to the annual Apollo Bay Music Festival and the Great Ocean Sports Festival.
In winter to spring, southern right whales come to the area mainly to breed, to give birth their calves, and to raise them in the warmer, calm waters of South Australia during their migration season. Less frequently, humpback whales can be seen off the coast.","https://upload.wikimedia.org/wikipedia/commons/5/5a/Apollo_Bay_from_Mariners_Lookout.jpg","Apollo Bay.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/5/5a/Apollo_Bay_from_Mariners_Lookout.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Coastine_golf_australia.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Amphitrite_Australiastamp.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2a/Apollo_Bay%2C_Vic_during_GVBR_Pano_jjron_03.12.2009.jpg', 'https://upload.wikimedia.org/wikipedia/en/5/58/Marriner%27s_Falls_Apollo_Bay.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/93/Australia_Victoria_Colac_Otway_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Wikivoyage-Logo-v3-icon.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/en/4/48/Folder_Hexagonal_Icon.svg', 'https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg']",
"Beeac","https://en.wikipedia.org/wiki/Beeac","Beeac is a town in the Western District of Victoria, Australia. The town is located on the shore of the hyper-saline Lake Beeac in the Colac Otway Shire local government area, 160 kilometres south of the state capital, Melbourne. At the 2006 census, Beeac had a population of 204.","https://upload.wikimedia.org/wikipedia/commons/1/17/BeeacMainStreet.JPG","Beeac.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/1/17/BeeacMainStreet.JPG', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/9/93/Australia_Victoria_Colac_Otway_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Beech Forest","https://en.wikipedia.org/wiki/Beech_Forest,_Victoria","Beech Forest is a town in Victoria, Australia. The area of Beech Forest is largely used for potato farming.
The town was named after the many myrtle beech trees of the area. Beech Forest Post Office opened on 10 May 1890 and closed in 1994. 
The town had a railway station on the Crowes railway line from 1902 until 1962. Much of the route of the old railway has been converted to the Old Beechy Rail Trail, via which cyclists and walkers can travel 45 kilometres (28 mi) between Beech Forest and Colac.
Cliff Young, winner of the 1983 Westfield Sydney to Melbourne Ultra Marathon at the age of 61, lived in Beech Forest.","https://upload.wikimedia.org/wikipedia/commons/b/ba/Beech_Forest_Main_Street_001.JPG","Beech Forest.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/b/ba/Beech_Forest_Main_Street_001.JPG', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/9/93/Australia_Victoria_Colac_Otway_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg']",
"Camperdown","https://en.wikipedia.org/wiki/Camperdown,_Victoria","Camperdown /ˈkæmpədaʊn/ is a historically significant rural town in southwestern Victoria, Australia, 194 kilometres (121 mi) west of the state capital, Melbourne. At the 2011 census, Camperdown had a population of 3,463.","https://upload.wikimedia.org/wikipedia/commons/6/67/Lake_Bullen_Merri_at_Sunset.jpg","Camperdown.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/6/67/Lake_Bullen_Merri_at_Sunset.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6b/Camperdown_main_street.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Australia_Victoria_Corangamite_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Cobden","https://en.wikipedia.org/wiki/Cobden,_Victoria","Cobden /ˈkɒbdən/ is a town located 210 kilometres southwest of Melbourne, Victoria, Australia named in honour of Richard Cobden. At the 2006 census, Cobden had a population of 1813. At the 2001 census, Cobden had a population of 1419.","https://upload.wikimedia.org/wikipedia/commons/3/3b/CobdenFonterraPlant.JPG","Cobden.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/3/3b/CobdenFonterraPlant.JPG', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Australia_Victoria_Corangamite_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Derrinallum","https://en.wikipedia.org/wiki/Lismore,_Victoria","Lismore is a town in Victoria, Australia, located on the Hamilton Highway 170 kilometres (106 mi) west of Melbourne. It is part of the Corangamite Shire local government area. The town is located at a point equidistant from Geelong and Warrnambool. At the 2006 census, Lismore had a population of 513. At the 2001 census, Lismore had a population of 262.","https://upload.wikimedia.org/wikipedia/commons/a/a8/LismoreHotel2010.JPG","Derrinallum.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/a/a8/LismoreHotel2010.JPG', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Australia_Victoria_Corangamite_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Foxhow","https://en.wikipedia.org/wiki/Foxhow,_Victoria","Foxhow is a locality in Victoria, Australia, located 200 km south-west of Melbourne in an agricultural area at the northern end of Lake Corangamite.
Foxhow Post Office opened around 1902 and closed in 1959 although an earlier office had a brief existence around 1870.","https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png","Foxhow.png","Done","['https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Australia_Victoria_Corangamite_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Reservoir","null","null","null","null","null","null",
"Preston","https://en.wikipedia.org/wiki/City_of_Preston_(Victoria)","The City of Preston was a local government area about 11 kilometres (7 mi) north-northeast of Melbourne, the state capital of Victoria, Australia. The city covered an area of 37.05 square kilometres (14.31 sq mi), and existed from 1871 until 1994.","https://upload.wikimedia.org/wikipedia/commons/9/97/Old_lga_Preston.png","Preston.png","Done","['https://upload.wikimedia.org/wikipedia/commons/9/97/Old_lga_Preston.png', 'https://upload.wikimedia.org/wikipedia/commons/1/17/Prestoncitylogo.jpg']",
"Kingsbury","https://en.wikipedia.org/wiki/Kingsbury,_Victoria","Kingsbury is a suburb of Melbourne, Victoria, Australia, 14 km north-east from Melbourne's Central Business District. Its local government area is the City of Darebin. At the 2011 Census, Kingsbury had a population of 3,362.
The suburb was named after Bruce Kingsbury VC, who died in Papua New Guinea during the Second World War.
Kingsbury is an established suburb with the majority of homes established in the 1960s from either weatherboard or brick. Recently there has been an increased number of new housing developments in the area with Kingsbury following close trend from neighbouring suburbs Reservoir and Preston largely due to the large block land size and close proximity to public transport and Melbourne CBD. The suburb of Kingsbury previously had a golf course running through it before being built over in the 1960s for new housing developments. One side of Kingsbury's street names are made up of golfing terms; Green Avenue, Eagle Avenue, Flag Street, Bunker Avenue, Club Avenue, Golf Avenue, and The Fairway. The other half of Kingsbury's street names reference famous poets from across the world; Lowell Avenue, Whittier Street, Scott Grove, Bradshaw Street, and Keats Avenue.","https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg","Kingsbury.svg","Done","['https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Text_document_with_red_question_mark.svg', 'https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg']",
"Thornbury","https://en.wikipedia.org/wiki/Thornbury,_Victoria","Thornbury ( original pronunciation ) is a suburb of Melbourne, Victoria, Australia, 7 km north of Melbourne's Central Business District. Its local government area is the City of Darebin. At the 2011 census, Thornbury had a population of 17,434. Thornbury is bordered by the Merri Creek to the west, and the Darebin Creek to the east. The heart of Thornbury is known as Thornbury Village, and is located at the centre of Thornbury at the intersection of High Street and Normanby Avenue/Clarendon Street.
Thornbury is shaped as a thin strip of land sandwiched between Northcote and Preston. Its east-west width being over six times greater than its north-south width. For 111 years Thornbury was part of the former City of Northcote Local Government Area, which existed from 1883 until June 1994. As such, Thornbury is universally understood to be a demographic and commercial satellite of Northcote, along with Westgarth, although the latter does not have its own postcode. Whilst both Westgarth and Thornbury each have their own distinct central hub, unlike Westgarth, the majority of Thornbury is too far away from its centre for the whole of Thornbury to ever be able to develop its own separate identity.","https://upload.wikimedia.org/wikipedia/commons/e/e9/Thornbury%2C_Victoria_pronunciation.ogg","Thornbury.ogg","Done","['https://upload.wikimedia.org/wikipedia/commons/e/e9/Thornbury%2C_Victoria_pronunciation.ogg', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/Loudspeaker.svg']",
"Anglers Rest","https://en.wikipedia.org/wiki/Anglers_Rest,_Victoria","Anglers Rest is a locality in Victoria, Australia. It is on the Omeo Highway, 28.5 kilometres (17.7 mi) north of Omeo in the Shire of East Gippsland, almost totally surrounded by the Alpine National Park. At the 2006 census, Anglers Rest had a nominal population, being counted as part of Omeo.","https://upload.wikimedia.org/wikipedia/commons/5/52/Omeo_Hwy_crossing_the_Cobungra_River_at_Anglers_Rest%2C_Vic%2C_jjron%2C_6.06.2009.jpg","Anglers Rest.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/5/52/Omeo_Hwy_crossing_the_Cobungra_River_at_Anglers_Rest%2C_Vic%2C_jjron%2C_6.06.2009.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/2003_Bushfires_aftermath_near_Anglers_Rest.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/Blue_Duck_Inn_on_the_Omeo_Hwy%2C_Anglers_Rest%2C_Vic%2C_jjron%2C_6.06.2009.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/95/Anglers_Rest_Camping_Area%2C_Anglers_Rest%2C_Vic%2C_jjron%2C_6.06.2009.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Australia_Victoria_East_Gippsland_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Bairnsdale","https://en.wikipedia.org/wiki/Bairnsdale_Airport","Bairnsdale Airport (IATA: BSJ, ICAO: YBNS) is located 4 nautical miles (7.4 km; 4.6 mi) south west of Bairnsdale, Victoria, Australia, off the Princes Highway.
It was originally RAAF Station Bairnsdale, which was a training establishment formed during World War II. No. 1 Operational Training Unit (1OTU) and the General Reconnaissance School (GRS) were based there during the war years.","https://upload.wikimedia.org/wikipedia/commons/6/68/Aviacionavion.png","Bairnsdale.png","Done","['https://upload.wikimedia.org/wikipedia/commons/6/68/Aviacionavion.png', 'https://upload.wikimedia.org/wikipedia/commons/9/92/Australia_Victoria_location_map.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c5/Airplane_silhouette.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/Airport_symbol.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Victoria_%28Australia%29.svg']",
"Bemm River","https://en.wikipedia.org/wiki/Bemm_River,_Victoria","Bemm River is a township and locality in the East Gippsland region of Victoria, Australia. At the 2011 census, Bemm River and the surrounding area had a population of 287.","https://upload.wikimedia.org/wikipedia/commons/e/e7/DarkSunset2.jpg","Bemm River.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/e/e7/DarkSunset2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Australia_Victoria_East_Gippsland_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Benambra","https://en.wikipedia.org/wiki/Benambra,_Victoria","Benambra is a small town 28 kilometres (17 mi) north-east of Omeo and 430 kilometres (267 mi) east of the state capital Melbourne, in the Australian Alps of East Gippsland, Victoria, Australia. Nearby towns include Swifts Creek, Ensay, and the major town of Bairnsdale. At the 2006 census, Benambra and the surrounding area had a population of 265.","https://upload.wikimedia.org/wikipedia/commons/d/db/Boating-on-Lake-Omeo%2C-Benambra-1892.jpg","Benambra.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/d/db/Boating-on-Lake-Omeo%2C-Benambra-1892.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/01/Benambra%26OmeoPlains-from-MtBlowhard.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f0/Benambra-Pub%26MainStreet.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Benambra-PresbyterianChurch-1905.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a3/1961EK-Holden_Benambra%2CVic.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/Benambra-Hotel-from-Gibbo-St.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b1/Benambra-RoadSignage.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4c/View_from_mcmillans_lookout_at_dusk02.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Australia_Victoria_East_Gippsland_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Langwarrin","https://en.wikipedia.org/wiki/Langwarrin,_Victoria","Langwarrin is a semi rural suburb on the urban fringe of Melbourne, Victoria, Australia, 42 km south-east from Melbourne's central business district. Its local government area is Frankston City. At the 2011 census, Langwarrin had a population of 21,371.
Langwarrin is bounded in the north generally by Valley Road, in the east by Dandenong-Hastings Road, in the south by Robinsons Road and in the west by the route of the proposed extension of the Mornington Peninsula Freeway and by McClelland Drive to the north of the suburb.","https://upload.wikimedia.org/wikipedia/commons/5/5d/Inge-King-Jabaroo-1984-85-photo-2009-05-b.jpg","Langwarrin.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/5/5d/Inge-King-Jabaroo-1984-85-photo-2009-05-b.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Frankston","https://en.wikipedia.org/wiki/Frankston_South,_Victoria","Frankston South is a suburb in Melbourne, Victoria, Australia, 43 km south-east of Melbourne city centre. Its local government area is the City of Frankston. According to the 2006 Census, Frankston South had a population of 17,360.
Sharing the same postcode as Frankston (3199), it is a separate suburb.","https://upload.wikimedia.org/wikipedia/en/6/64/Frankstonsouthrooftops01.jpg","Frankston.jpg","Done","['https://upload.wikimedia.org/wikipedia/en/6/64/Frankstonsouthrooftops01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Karingal","https://en.wikipedia.org/wiki/Karingal,_Victoria","Karingal is a locality within the suburb of Frankston located inMelbourne, Victoria in Australia. It is in the local government area of theCity of Frankston.","https://upload.wikimedia.org/wikipedia/commons/4/4f/Frankston_railway_station_entrance.jpg","Karingal.jpg","Done","null",
"Carrum Downs","https://en.wikipedia.org/wiki/Carrum_Downs,_Victoria","Carrum Downs is a suburb in Melbourne, Victoria, Australia, 36 km south-east from Melbourne's central business district. Its local government area is the City of Frankston. At the 2006 Census, Carrum Downs had a population of 17,213.
Prior to December 1994 the majority of Carrum Downs was within the City of Cranbourne. However, after statewide local government reform, the suburb was moved to be part of a new, larger City of Frankston
In late 2006, RealEstatesource compiled a list of the top ten performing suburbs in Melbourne, Carrum Downs was ranked fourth with property showing a 94.4% median value increase since the real estate market's 'peak' of 2001. In January 2008, the 'Your Investment Property' periodical published an article on Carrum Downs, predicting an increased demand for residential and commercial property in the area, following the completion of the Eastlink project in June 2008.","https://upload.wikimedia.org/wikipedia/en/5/50/Carrum-downs-tennis-club.jpg","Carrum Downs.jpg","Done","['https://upload.wikimedia.org/wikipedia/en/5/50/Carrum-downs-tennis-club.jpg', 'https://upload.wikimedia.org/wikipedia/en/5/50/View-from-carrum-downs-of-dandenong-ranges.jpg', 'https://upload.wikimedia.org/wikipedia/en/2/20/Rotary-park-carrum-downs.jpg', 'https://upload.wikimedia.org/wikipedia/en/1/16/Shri-shiva-vishnu-temple.jpg', 'https://upload.wikimedia.org/wikipedia/en/0/0d/Carrum-downs-regional-shopping-centre.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cb/Carving_on_the_doors_of_Shiva_Vishnu_Temple_in_Victoria_Australia.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Cohuna","https://en.wikipedia.org/wiki/Cohuna,_Victoria","For the Central American palm tree see Attalea cohune.
Cohuna /koʊˈhuːnə/ is a town situated 274 kilometres (170 mi) north of Melbourne, on the Murray Valley Highway, in northern Victoria, Australia. At the 2011 census, Cohuna had a population of 2,313.","https://upload.wikimedia.org/wikipedia/commons/4/48/CohunaWaterTower.JPG","Cohuna.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/4/48/CohunaWaterTower.JPG', 'https://upload.wikimedia.org/wikipedia/commons/4/48/CohunaGunbowerCreek.JPG', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Australia_Victoria_Gannawarra_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg']",
"Kerang","https://en.wikipedia.org/wiki/Kerang","Kerang is a rural town on the Loddon River in northern Victoria in Australia. It is the commercial centre to an irrigation district based on livestock, horticulture, lucerne and grain. It is located 279 kilometres (173 mi) north-west of Melbourne on the Murray Valley Highway a few kilometres north of its intersection with the Loddon Valley Highway, elevation 78 metres (256 ft). At the 2011 census, Kerang had a population of 3,872. Kerang is believed to be an Aboriginal word for Cockatoo.","https://upload.wikimedia.org/wikipedia/commons/2/2a/KerangMainStreet.JPG","Kerang.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/2/2a/KerangMainStreet.JPG', 'https://upload.wikimedia.org/wikipedia/commons/e/e2/Kerang_location_map_in_Victoria.PNG', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Australia_Victoria_Gannawarra_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Koondrook","https://en.wikipedia.org/wiki/Koondrook","Koondrook (/ˈkuːndrʊk/ KOON-druuk) is a town situated on the Murray River, Victoria, Australia. The town is located in the Shire of Gannawarra local government area, 301 kilometres (187 mi) north west of the state capital, Melbourne. At the 2011 census, Koondrook had a population of 769.","https://upload.wikimedia.org/wikipedia/commons/3/33/KoondrookMainStreet.JPG","Koondrook.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/3/33/KoondrookMainStreet.JPG', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Australia_Victoria_Gannawarra_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Leitchville","https://en.wikipedia.org/wiki/Leitchville,_Victoria","Leitchville is a town in northern Victoria, Australia. The town is in the Shire of Gannawarra local government area, 262  kilometres from the state capital, Melbourne. At the 2011 census, Leitchville had a population of 619.","https://upload.wikimedia.org/wikipedia/commons/a/a6/LeitchvilleMurrayGoulburnPlant.JPG","Leitchville.jpg","Done","['https://upload.wikimedia.org/wikipedia/commons/a/a6/LeitchvilleMurrayGoulburnPlant.JPG', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Australia_Victoria_Gannawarra_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Bentleigh","https://en.wikipedia.org/wiki/Bentleigh_East,_Victoria","East Bentleigh is a suburb in Melbourne, Victoria, Australia. Its local government area is the City of Glen Eira. At the 2011 Census, Bentleigh East had a population of 25,925.","https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg","Bentleigh.svg","Done","['https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Caulfield","https://en.wikipedia.org/wiki/Caulfield,_Victoria","Caulfield is a suburb of Melbourne, Victoria, Australia, 12 kilometres (7.5 mi) south-east of Melbourne's central business district. Its local government area is the City of Glen Eira. At the 2011 Census, Caulfield had a population of 5,160.
It is bounded by Kooyong Road in the west, Glen Eira Road in the north, Glen Huntly Road in the south and Booran Road in the east.
Caulfield is best known as the location of Caulfield Racecourse and the Caulfield campus of Monash University.","https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg","Caulfield.svg","Done","['https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Carnegie","https://en.wikipedia.org/wiki/Carnegie,_Victoria","Carnegie is a suburb in Melbourne, Victoria, Australia, 12 km south-east from Melbourne's central business district. Its local government area is the City of Glen Eira. At the 2011 Census, Carnegie had a population of 16,299. Its postcode is 3163.
The suburb's main shopping precinct is on Koornang Road, between Dandenong Road and Neerim Road.
Originally called Rosstown, after William Murray Ross, a prominent property developer and entrepreneur, a name change came about due to Ross' failed speculative developments and in 1909 it was renamed Carnegie in an ultimately unsuccessful attempt to secure funds for a library from the philanthropist Andrew Carnegie.

","https://upload.wikimedia.org/wikipedia/en/4/4a/Rosstown_sugarworks_-_Melbourne.jpg","Carnegie.jpg","Done","['https://upload.wikimedia.org/wikipedia/en/4/4a/Rosstown_sugarworks_-_Melbourne.jpg', 'https://upload.wikimedia.org/wikipedia/en/5/5e/Carnegie%2C_Princes_Hwy.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/be/Carnegie_Station_2009.JPG', 'https://upload.wikimedia.org/wikipedia/en/9/90/Carnegie_Princes_Entertainment_Centre.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg']",
"Brighton East","https://en.wikipedia.org/wiki/Brighton_East,_Victoria","Brighton East is a suburb in Melbourne, Victoria, Australia, 11 km south-east from Melbourne's central business district. Its local government area is the City of Bayside. At the 2011 census, Brighton East had a population of 15,814.
Brighton East lies further inland from the coast of Port Philip Bay than Brighton, its affluent, neighbouring community to the west. Its boundaries are Nepean Highway in the northwest, North Road in the north, Thomas Street in the east, Nepean Highway in the southeast, South Road in the south, and Hampton Street in the west.
Brighton East is known for its spacious parklands, most notably Dendy Park, one of Victoria's 10 biggest parks and outdoor recreation areas, Hurlingham Park, and Landcox Park.","https://upload.wikimedia.org/wikipedia/commons/2/2c/Victoria_locator-MJC.png","Brighton East.png","Done","['https://upload.wikimedia.org/wikipedia/commons/2/2c/Victoria_locator-MJC.png', 'https://upload.wikimedia.org/wikipedia/commons/1/1a/Australia_Victoria_metropolitan_Melbourne_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg']",
"Allestree","https://en.wikipedia.org/wiki/Allestree,_Victoria","Allestree /ˈæləztri/ is a small town in Victoria, Australia. It is located along the Princes Highway, north-east of Portland. At the 2006 census, Allestree and the surrounding area had a population of 316.
Allestree is named after Allestree in Derbyshire, England. Allestree Post Office opened on 9 August 1907 (replacing nearby Bolwarra) and closed in 1971.
Within the locality of Allestree is the Convincing Ground where a massacre of aborigines is alleged to have taken place in around 1833.","https://upload.wikimedia.org/wikipedia/commons/0/0e/En-allestree.ogg","Allestree.ogg","Done","['https://upload.wikimedia.org/wikipedia/commons/0/0e/En-allestree.ogg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/VIC_in_Australia_map.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/Australia_Victoria_Glenelg_Shire_location_map.svg', 'https://upload.wikimedia.org/wikipedia/en/0/0c/Red_pog.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/87/Gnome-mime-sound-openclipart.svg']",
